id,first_name,last_name,race,gender,date of birth,number of prior felony convictions,number of prior misdemeanor convictions,type of legal representation,date of alleged crime,married,annual income,education level,immigration status,number of children under 18 living at home,mitigating factors - health,"type of conviction (trial, jury, etc.)",plea: guilty? ,possible charge 1: offense category,possible charge 1: attempted crime,possible charge 1: primary? vs. accomplice,"possible sentence type 1: (jail, probation, etc.)",possible total minimum incarceration term 1,possible total maximum incarceration term 1,possible probation term in months 1,possible amount of fine in dollars 1,possible amount of community service in hours 1,possible alternative sentence 1,possible suspended sentence 1,possible charge 2: offense category,possible charge 2: attempted crime,possible charge 2: primary? vs. accomplice,"possible sentence type 2: (jail, probation, etc.)",possible total minimum incarceration term 2,possible total maximum incarceration term 2,possible probation term in months 2,possible amount of fine in dollars 2,possible amount of community service in hours 2,possible alternative sentence 2,possible suspended sentence 2
239,Amelita,McCall,White,Female,6/14/1993,1,1,1,3/25/2020,true,103879,5,1,5,"Lacerat musc/fasc/tend long hd bicep, left arm, sequela",3,true,26,2,false,2,8,96,3,54841,38,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,false,5,3,true,1,28,119,92,87503,49,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,false
240,Annette,Joslin,Ecuadorian,Female,12/22/1946,3,3,2,8/18/2019,true,124604,2,2,10,"Fracture of unsp phalanx of r little finger, init for opn fx",5,true,24,4,true,4,35,22,119,23903,77,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet,true,24,2,true,6,60,52,12,10238,23,sit amet cursus id turpis integer aliquet massa id lobortis,false
241,Catie,Milton-White,Potawatomi,Female,3/31/1974,3,1,3,3/26/2018,true,59495,5,2,7,"Milt op w acc deton onboard marine weapons, milt, init",5,false,11,2,true,4,7,74,59,87733,90,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,true,22,4,true,7,58,90,32,7941,58,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod,true
242,Stephen,L'Hommee,Asian,Male,12/14/1973,2,3,1,8/19/2019,false,36063,1,3,7,Minor laceration of right carotid artery,3,false,2,1,true,5,61,83,87,52379,13,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac,true,26,2,false,7,33,1,74,54878,89,massa donec dapibus duis at velit eu est congue elementum in hac,false
243,Tailor,Retallack,Spaniard,Male,3/19/1958,3,1,1,6/25/2019,false,387824,5,2,4,"Osteophyte, right ankle",2,false,15,4,false,5,59,109,53,55146,63,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,true,27,1,true,7,119,19,36,35171,2,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,true
244,Ingram,Vettore,Yuman,Male,10/24/1985,1,2,2,6/22/2019,true,82048,4,2,7,Abn lev drug/meds/biol subst in specmn from male gntl organs,3,false,13,3,false,8,26,32,105,82210,84,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,false,19,3,true,6,53,96,18,26791,22,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,true
245,Margarita,Swaffer,Yakama,Female,1/12/1949,3,2,2,2/3/2018,false,462511,1,1,3,"Other fracture of right talus, init encntr for open fracture",5,false,12,1,true,6,1,70,51,32748,39,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,false,16,3,true,4,67,5,61,21599,68,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo,false
246,Falkner,Ormshaw,Colville,Male,10/25/1965,1,3,3,2/28/2018,true,139819,2,4,9,Other bacterial meningitis,4,false,31,4,false,8,67,41,57,31857,41,etiam faucibus cursus urna ut tellus nulla ut erat id,false,31,1,false,5,58,112,37,67666,36,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi,true
247,Abramo,Riddock,Ottawa,Male,12/12/1968,3,1,1,1/4/2020,false,150373,2,4,10,"Unsp inflammatory spondylopathy, occipt-atlan-ax region",3,true,6,1,false,4,75,51,3,47781,61,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,false,14,3,true,8,98,12,75,43066,94,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,true
248,Patsy,Straniero,Colombian,Female,3/29/1968,3,2,2,8/6/2018,false,56246,3,3,9,"Toxic effect of carbon monoxide from utility gas, self-harm",1,true,18,1,false,1,49,32,50,66854,16,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,true,23,2,true,8,67,81,32,3743,3,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,true
249,Cyndie,Prangnell,Alaskan Athabascan,Female,1/26/1958,2,2,2,8/9/2019,false,94160,5,4,8,"Burn first deg mult sites of head, face, and neck, sequela",2,true,1,1,false,4,47,78,12,61747,44,porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst,false,28,2,false,4,24,88,9,5136,51,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo,true
250,Cord,Futter,Alaskan Athabascan,Male,12/2/1958,2,2,3,5/8/2020,true,395969,5,2,0,"Unsp ultralt/microlt/pwr-glider acc inj occupant, sequela",3,true,9,1,false,4,80,100,99,60772,18,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,true,6,2,false,2,90,13,115,43701,97,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,true
251,Jacob,Crighten,Tohono O'Odham,Male,6/11/1981,3,1,2,6/4/2019,false,87126,3,1,6,"Other foreign object in larynx causing other injury, sequela",3,true,27,3,false,5,101,39,91,79833,47,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,true,8,2,true,6,65,10,103,29878,56,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,true
252,Dore,Ashelford,Korean,Male,12/29/1986,3,1,1,9/24/2018,false,304626,4,3,5,"Benign neoplasm of female genital organ, unspecified",3,false,6,2,false,1,120,59,120,52361,50,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,false,1,2,false,8,42,8,35,694,96,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,false
253,Hugo,McCuis,Paiute,Male,11/15/1965,1,3,3,12/16/2018,false,391786,3,2,1,"Iris atrophy (essential) (progressive), left eye",5,true,8,4,false,3,50,44,37,230,51,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,true,24,4,true,3,18,83,82,6683,70,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,true
254,Hedda,Pirrone,Shoshone,Female,3/15/2000,3,2,1,2/7/2018,false,350974,3,4,7,"Torus fx lower end of left fibula, subs for fx w routn heal",1,true,29,3,true,7,93,107,113,11515,13,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,true,14,2,true,4,45,26,4,72190,85,felis eu sapien cursus vestibulum proin eu mi nulla ac,true
255,Reece,Sowray,Blackfeet,Male,2/15/1966,3,3,2,12/20/2019,true,4323,2,1,6,Pain localized to other parts of lower abdomen,4,false,16,2,false,4,102,44,46,74367,82,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis,true,18,4,false,7,85,117,79,65395,42,leo odio porttitor id consequat in consequat ut nulla sed accumsan,false
256,Ronald,Daverin,Blackfeet,Male,4/9/1995,1,1,3,1/24/2019,false,104926,2,3,2,"Nontraumatic subdural hemorrhage, unspecified",2,false,18,4,false,5,39,57,10,37862,47,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,true,19,2,true,4,9,38,33,83768,33,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,true
257,Sindee,Fargher,Malaysian,Female,4/2/1987,2,2,3,1/8/2020,true,62028,2,4,7,"Nondisp fx of less tuberosity of r humer, 7thD",2,false,1,2,true,1,116,98,51,3195,19,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu,false,14,2,true,2,48,49,75,2035,38,maecenas tristique est et tempus semper est quam pharetra magna ac,true
258,Hercules,Foxen,Chamorro,Male,12/31/1982,1,2,2,1/20/2018,false,98806,5,1,1,"Unsp fx navic bone of unsp wrist, subs for fx w delay heal",3,true,20,2,false,7,84,4,95,31588,62,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,true,18,1,true,4,73,21,118,63338,2,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,false
259,Opal,McGlaughn,Tohono O'Odham,Female,3/19/1940,2,1,3,5/2/2018,true,498145,4,2,5,"Meralgia paresthetica, right lower limb",2,true,6,2,true,8,26,40,67,80357,22,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,false,23,4,true,2,113,10,59,65726,46,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,true
260,Horatio,Croose,Malaysian,Male,6/3/1991,3,1,1,6/22/2018,true,279268,4,3,5,Minor laceration of unspecified carotid artery,5,false,2,3,false,2,103,93,65,40009,24,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,true,19,1,true,8,39,44,84,29543,83,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,true
261,Luther,Naisey,Lumbee,Male,2/27/1980,1,2,1,1/27/2018,true,26828,5,4,6,"Nondisp spiral fx shaft of rad, r arm, 7thR",3,false,28,1,false,6,70,39,76,90710,10,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie,false,5,3,false,8,111,85,58,67068,67,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,true
262,Ellis,Hastwell,Native Hawaiian and Other Pacific Islander (NHPI),Male,1/26/1982,3,2,1,4/21/2018,false,357684,2,2,6,"Disorder of facial nerve, unspecified",5,false,19,1,true,1,40,47,29,71805,12,proin at turpis a pede posuere nonummy integer non velit donec diam,false,5,3,false,3,22,98,58,99207,45,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,true
263,Janella,Pachmann,Cuban,Female,4/7/1972,1,2,2,12/25/2018,true,217088,2,2,0,Melanoma in situ of unsp ear and external auricular canal,4,false,31,2,true,8,104,17,120,70966,98,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras,true,30,2,true,4,74,25,41,5664,77,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,false
264,Abran,Jakovijevic,Paiute,Male,2/13/1999,2,1,3,4/17/2020,true,354071,1,3,9,"Other disturbances of oral epithelium, including tongue",2,false,6,1,false,4,89,109,51,43060,39,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,false,29,1,false,4,0,120,25,46737,68,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,false
265,Berty,Thwaite,Peruvian,Female,6/18/1945,3,3,2,10/3/2019,false,488824,2,3,10,Juvenile dermatopolymyositis with other organ involvement,3,true,27,2,true,1,100,30,69,94151,45,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,true,9,3,false,3,14,118,9,96748,42,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,false
266,Zea,Pleat,Lumbee,Female,4/26/1962,3,2,1,4/5/2019,false,51047,4,3,4,"Nondisp suprcndl fx w/o intrcndl extn low end r femr, 7thK",4,true,13,4,false,3,67,73,38,37065,74,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,true,26,4,true,3,66,115,11,70923,91,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,true
267,Deny,Bartomieu,Cherokee,Female,4/16/1948,3,1,3,3/2/2020,false,195685,3,1,4,"Strain extensor musc/fasc/tend l rng fngr at forarm lv, subs",2,true,15,2,true,5,20,4,13,81054,28,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,false,18,2,true,5,49,93,54,98412,42,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus,true
268,Regan,Moretto,Tlingit-Haida,Male,12/22/1944,1,1,2,4/28/2018,false,220865,2,3,8,"Path fracture in neoplastic disease, unsp ankle, init",3,false,9,1,true,5,70,105,120,50726,32,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,true,31,2,true,3,66,81,68,51199,28,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa,false
269,Erminia,Aysh,Paraguayan,Female,2/2/1951,2,3,1,7/21/2019,false,241933,1,2,2,"Nondisp apophyseal fx r femur, subs for clos fx w delay heal",1,false,1,2,false,2,51,111,26,58868,28,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,true,27,2,false,1,83,48,64,48648,8,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,false
270,Osborne,Wragge,Yuman,Male,1/7/1955,1,3,2,6/14/2018,false,99929,4,1,3,Burn with resulting rupture and destruction of unsp eyeball,3,true,19,2,false,3,19,98,93,40624,42,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,false,28,4,false,7,106,42,103,99217,12,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,false
271,Stacia,Schwandermann,Micronesian,Female,11/16/1945,3,3,3,2/12/2019,true,69217,3,1,1,"Sprain of anterior cruciate ligament of unsp knee, init",4,false,30,1,true,4,70,32,115,83742,52,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,true,22,3,true,6,82,16,13,4478,41,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,false
272,Brady,Roddam,Nicaraguan,Male,3/24/1956,1,3,3,6/5/2019,false,301830,1,3,5,Symptomatic neurosyphilis,4,false,18,2,false,5,43,28,0,56001,36,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,false,10,4,false,5,9,16,106,8880,67,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate,false
273,Florance,Budge,Chickasaw,Female,3/9/1976,1,1,2,4/18/2018,true,252117,3,2,10,Concussion and edema of thoracic spinal cord,4,false,2,3,true,7,14,33,118,46433,55,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,false,7,3,true,7,26,50,101,77297,13,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,true
274,Devon,Dunbobin,Salvadoran,Female,12/1/1954,1,1,2,10/29/2019,true,203199,2,4,3,"Nondisp oblique fx shaft of unsp fibula, 7thJ",5,false,4,2,true,8,108,47,37,66379,63,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,true,27,4,true,1,22,88,9,79667,77,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede,false
275,Berkley,Macconaghy,Polynesian,Male,11/13/1992,1,2,1,8/9/2019,false,158776,1,2,10,"Age-rel osteopor w current path fx, r shoulder, sequela",2,true,1,1,false,5,110,47,4,7615,76,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,true,12,2,true,5,37,105,83,58495,70,enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum,true
276,Kin,Parkisson,Chilean,Male,10/23/1980,3,1,2,10/12/2019,true,290307,1,2,1,Puncture wound without foreign body of right shoulder,5,true,19,4,true,5,20,54,0,78741,28,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,false,16,3,false,7,63,35,63,15941,2,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,true
277,Edee,Welband,Chilean,Female,12/13/1958,3,1,2,6/30/2020,true,164136,3,1,0,Blister (nonthermal) of other part of head,1,true,1,1,false,2,13,55,38,87509,81,id turpis integer aliquet massa id lobortis convallis tortor risus,true,10,2,false,1,82,77,81,10281,8,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,false
278,Peadar,Yarnton,Chamorro,Male,7/8/1997,1,1,3,12/27/2018,false,62650,5,2,3,"Disp fx of med epicondyl of unsp humer, 7thG",4,true,24,3,false,2,95,89,86,49165,17,sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis,true,18,4,true,4,41,22,86,94505,14,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin,true
279,Ed,Hegerty,Asian,Male,3/21/1960,1,3,2,2/14/2020,true,105761,1,2,3,"Toxic effect of venom of gila monster, self-harm, init",1,true,29,1,true,8,85,93,10,30392,55,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,true,12,1,false,1,101,117,112,12177,23,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor,false
280,Iain,Gilbard,Venezuelan,Male,8/6/1965,1,2,3,4/6/2019,false,489597,4,3,8,"Displ oblique fx shaft of l tibia, 7thH",3,false,13,4,false,2,81,81,111,67270,66,in est risus auctor sed tristique in tempus sit amet sem fusce,true,18,1,false,8,23,40,88,72279,17,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,true
281,Pippa,Longthorn,Kiowa,Female,5/16/1958,3,3,2,3/6/2018,false,410269,3,1,4,"Laceration of ulnar artery at wrs/hnd lv of left arm, init",3,false,14,1,false,8,44,21,112,8919,46,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam,false,23,3,true,2,111,62,75,32329,99,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,true
282,Wynne,Jouannisson,Puget Sound Salish,Female,12/3/1994,1,1,2,2/17/2020,false,413515,2,3,2,Bed confinement status,3,false,20,4,false,4,14,56,64,85434,85,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,true,15,1,true,4,24,33,90,99611,34,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,false
283,Willdon,Davidowsky,Paraguayan,Male,1/2/1982,2,3,3,7/14/2020,false,107646,2,2,1,"Disp fx of r ulna styloid pro, subs for clos fx w delay heal",4,true,3,1,true,3,61,38,47,94145,90,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,false,11,2,true,2,113,75,32,23816,11,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse,true
284,Baldwin,Milch,Cuban,Male,2/18/1948,3,3,3,5/23/2019,false,236131,2,1,4,"Displacement of gastrointestinal prosth dev/grft, init",2,true,5,2,false,4,7,68,76,48650,69,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus,true,15,3,false,8,104,41,52,87956,14,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,false
285,Caralie,Kalkhoven,Choctaw,Female,6/19/1988,3,3,3,10/4/2018,true,95666,5,1,2,"Age-rel osteopor w current path fx, unsp shoulder, init",2,true,11,2,false,3,86,108,64,6463,28,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,false,3,3,true,1,69,6,118,93461,42,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,false
286,Aretha,Islep,Guamanian,Female,12/17/1991,3,1,2,5/3/2020,true,368085,2,2,3,"Sltr-haris Type IV physeal fx phalanx of unsp toe, 7thK",4,false,7,3,true,7,94,42,40,82242,32,platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,false,13,2,true,5,4,0,62,19234,24,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,true
287,Taddeusz,Bulfoot,Uruguayan,Male,9/22/1964,1,2,1,10/13/2018,true,382673,5,2,6,"Unsp injury of unsp blood vess at hip and thi lev, left leg",5,false,29,2,false,8,84,22,98,45614,44,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,false,16,4,false,2,41,93,8,5942,20,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,true
288,Claudius,Tewkesberrie,Guatemalan,Male,7/30/1975,2,1,1,10/12/2019,true,166505,5,3,6,"Burn and corrosion of shldr/up lmb, except wrist and hand",2,true,7,3,true,4,62,26,83,46742,22,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,true,26,3,true,8,112,17,120,8583,40,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,false
289,Alexina,Caulkett,Puerto Rican,Female,8/6/1972,1,1,3,5/15/2020,true,144997,4,1,5,Other acute myringitis,4,false,14,4,true,6,55,74,61,68041,55,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,false,2,2,false,2,20,83,66,97981,95,mi integer ac neque duis bibendum morbi non quam nec,true
290,Kaleb,Springett,Uruguayan,Male,7/28/1962,2,2,1,4/16/2020,true,498300,2,2,5,"Occ of anml-drn vehicle inj in collisn with same, sequela",3,true,8,2,true,5,54,74,29,54289,71,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,false,29,1,true,7,33,45,37,87911,99,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,false
291,Marge,Winsome,Uruguayan,Female,11/21/1962,1,3,2,7/12/2020,true,241491,5,4,0,"Unsp inj blood vesls at abd, low back and pelvis level, init",2,true,17,2,false,3,13,12,58,60239,88,nisi eu orci mauris lacinia sapien quis libero nullam sit amet,false,6,2,true,4,22,27,46,40997,38,at velit eu est congue elementum in hac habitasse platea dictumst,false
292,Adelheid,Kippax,Colville,Female,12/29/1966,1,3,3,4/18/2018,true,436406,5,3,4,"Breakdown (mechanical) of int fix of bone of r forearm, subs",1,false,25,4,true,1,31,15,27,71191,82,nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis,true,29,4,false,5,66,38,93,81078,70,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,true
293,Phoebe,Tinan,Central American,Female,6/16/1996,1,1,2,5/15/2020,false,293837,1,1,5,"Other contact with squirrel, initial encounter",3,true,4,1,true,1,115,19,106,69085,73,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,false,12,2,true,3,10,75,47,75449,10,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit,true
294,Jordain,Staneland,Nicaraguan,Female,5/22/1989,2,3,2,6/29/2020,false,261562,3,3,4,"Laceration with foreign body of right breast, sequela",2,true,2,1,false,4,71,76,49,91093,94,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,true,3,2,true,5,85,38,65,61247,36,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,true
295,Darelle,Pawlowicz,Pakistani,Female,8/23/1981,2,3,3,11/23/2018,true,230853,5,4,7,"Disp fx of distal phalanx of l idx fngr, init for opn fx",3,true,17,2,true,5,67,57,28,23254,89,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer,true,19,1,false,8,3,32,45,7218,25,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed,true
296,Nessa,Cracknell,Salvadoran,Female,6/20/1963,2,1,1,1/25/2018,true,239271,1,4,5,Dislocation of metacarpophalangeal joint of finger,5,true,8,4,false,2,78,11,27,75100,39,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,true,16,2,true,7,96,78,84,16814,58,phasellus in felis donec semper sapien a libero nam dui,false
297,Chickie,Heinish,Delaware,Female,3/17/1981,2,1,1,9/24/2019,false,379605,5,3,10,Minor laceration of left kidney,5,false,1,2,false,2,54,83,32,2547,57,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,false,11,4,true,5,62,95,24,23977,75,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,false
298,Arlina,Fonzo,Guamanian,Female,2/17/1997,3,3,2,4/29/2020,true,22784,4,2,9,"Open bite of right breast, initial encounter",2,true,7,3,false,8,9,42,6,30726,90,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,true,18,3,true,5,9,12,42,69915,96,suspendisse potenti in eleifend quam a odio in hac habitasse,true
299,Charo,Exroll,Fijian,Female,2/27/1977,1,3,2,6/16/2019,true,204225,1,3,9,"Foliclar lymph grade II, nodes of ing region and lower limb",5,true,26,4,true,8,52,32,74,31824,33,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus,true,5,3,true,4,26,75,90,12473,74,cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,true
300,Janaya,Reason,Alaskan Athabascan,Female,8/10/1945,1,1,2,4/17/2020,true,230321,4,2,9,"Perf due to fb acc left in body fol remov cath/pack, init",4,true,10,4,true,8,97,68,41,86664,70,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,false,27,3,true,3,48,16,30,31206,20,aenean sit amet justo morbi ut odio cras mi pede malesuada,false
301,Marnie,Harrow,Dominican (Dominican Republic),Female,4/29/1964,1,2,1,12/18/2018,true,347425,5,4,5,Enteropathogenic Escherichia coli infection,1,true,31,4,true,5,117,88,112,15571,38,praesent blandit lacinia erat vestibulum sed magna at nunc commodo,false,25,1,true,1,29,44,80,95684,68,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac,false
302,Augy,Fernez,Micronesian,Male,4/5/1947,3,1,3,11/7/2019,false,346858,3,1,2,Other specified respiratory conditions of newborn,3,true,8,3,true,3,23,37,62,54261,76,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in,false,11,4,true,3,93,10,18,87671,31,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,true
303,Eldredge,Rumgay,Cree,Male,5/22/1943,2,1,2,7/17/2018,true,433965,2,4,3,"Corrosion of third degree of back of right hand, sequela",2,false,13,2,false,7,32,61,82,16873,14,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,true,30,4,false,8,33,22,65,35836,12,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,false
304,Lila,McPartlin,Peruvian,Female,3/9/1998,2,1,3,12/22/2018,true,129754,3,1,1,"Exposure to radioactive isotopes, initial encounter",2,false,1,1,false,5,109,109,72,18407,62,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam,true,11,4,true,6,1,55,51,92778,67,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,false
